Empresa,Vaga,Local,Tempo_Publicacao,Avaliacao
305959,Cientista de Dados Junior,São Paulo,17 dias,4.3
328357,Cientista de Dados,Campinas,17 dias,4.3
182617,CIENTISTA DE DADOS JUNIOR,Belo Horizonte,5 dias,3.6
361283,Cientista de Dados,Trabalho remoto,10 dias,3.4
194853,Cientista de Dados,Trabalho remoto,30 dias,4.5
117105,Cientista de Dados,São Paulo,20 dias,
238280,Cientista de Dados,Trabalho remoto,4 dias,4.7
204600,Pessoa Cientista de Dados Especialista,Recife,4 dias,4.5
456917,Cientista de Dados Sênior,São Paulo,24 dias,4.3
178451,Cientista de Dados Junior,São Paulo,13 dias,4.3
242220,Cientista de Dados Júnior,Jundiaí,21 dias,
497619,CIENTISTA DE DADOS JR (CRÉDITO),Porto Alegre,30 dias,4.2
232547,Cientista de Dados,Florianópolis,24 horas,3.8
486777,CIENTISTA DE DADOS,Rio de Janeiro,14 dias,5
329853,Cientista de Dados,Trabalho remoto,30 dias,4.4
177114,Cientista de Dados,Trabalho remoto,1 dias,3.9
410860,Cientista de Dados,São Leopoldo,30 dias,4.2
220115,Cientista de Dados/Machine Learning,Trabalho remoto,13 dias,4.5
217890,Tecnologia | Cientista de Dados e Analytics,Trabalho remoto,30 dias,4.2
326399,Cientista de Dados II,Trabalho remoto,24 dias,3.9
484442,[Minsait - PT JPA] Cientista de Dados,João Pessoa,4 dias,3.8
461644,Cientista de Dados,Trabalho remoto,30 dias,4.6
166678,Cientista de Dados JR,São Paulo,30 dias,3.7
206203,Cientista de Dados,São Paulo,30 dias,3.9
420911,Cientista de Dados Azure,São Paulo,30 dias,4.1
263722,Cientista de Dados Pleno,Trabalho remoto,12 dias,2.9
392838,Analista de Dados - Foco em Controladoria,Porto Alegre,24 horas,4.4
131576,Especialista Cientista de Dados - Agribusiness,São Paulo,4 dias,4.6
129823,Cientista de Dados,Brasília,30 dias,3.9
253479,Cientista de Dados Sr,São Paulo,30 dias,3.9
195297,Cientista de Dados Sênior / Especialista,Brasil,30 dias,4.6
135411,Cientista de Dados,São Paulo,30 dias,4.2
123232,Cientista de Dados DialogFlow Junior a Especialista,São Paulo,13 dias,4.3
180129,Cientista de Dados,São Paulo,30 dias,4.1
335355,CIENTISTA DE DADOS,Bauru,5 dias,3.8
401824,Engenheiro de Dados,Trabalho remoto,24 horas,4.2
447863,Cientista de Dados - SR,Manaus,10 dias,4.6
234910,Pessoa Engenheira de Dados,São Paulo,14 dias,3.4
244287,Cientista de Dados - Corporativo,Cascavel,30 dias,4.6
168583,Cientista de Dados,São Paulo,30 dias,4.4
467893,Pessoa Cientista de Dados | Sympla,Trabalho remoto,30 dias,
478626,Cientista de Dados I | Inteligência e Soluções Para o Consumidor,Rio de Janeiro,30 dias,4.2
126043,Pessoa Cientista de Dados Sênior,Barueri,30 dias,4.3
300637,Cientista de Dados em Indiferente - Remoto,Trabalho remoto,1 dias,3.9
253743,Cientista de Dados,São Paulo,30 dias,5
463928,CIENTISTA DE DADOS SENIOR (100% REMOTA),São Paulo,14 dias,4.5
369690,Cientista de Dados,São José dos Campos,30 dias,
372106,Engenheiro / Cientista de Dados,São Paulo,21 dias,4.2
491004,Cientista de Dados Sênior | IOB,Campinas,24 dias,5
258136,Pessoa Especialista de Dados,Trabalho remoto,18 dias,4
301677,Cientista de Dados Pleno | Produtos Digitais e Canais Pagos,Rio de Janeiro,10 dias,4.2
436601,Cientista de Dados SR - Foco Concessão de Crédito,Porto Alegre,30 dias,4.4
265614,CIENTISTA DE DADOS SR (CRÉDITO),Campinas,30 dias,4.2
171296,Cientista de Dados,Brasília,7 dias,4.5
280731,CIENTISTA DE DADOS ESPECIAISTA,Brasília,30 dias,4.7
247499,Cientista de Dados Sênior,São Paulo,30 dias,4
336221,"Cientista de Dados (Python, R, SAS e MATLAB)",Trabalho remoto,30 dias,4.2
400958,Cientista de Dados - Analista III - Telecine,Rio de Janeiro,30 dias,4.2
488475,Analista de Dados (SQL),Trabalho remoto,30 dias,4.2
322669,Cientista de Dados - Foco em Crédito,Porto Alegre,3 dias,4.4
147900,Cientista de Dados SR - Foco no Relacionamento com o Usuário,Porto Alegre,5 dias,4.4
254181,Cientista de Dados Sr.,São Paulo,21 dias,4.1
129949,CIENTISTA DE DADOS SENIOR/PLENO (100% REMOTA),São Paulo,14 dias,4.5
382250,Cientista de Dados Pleno / Sênior,Belo Horizonte,28 dias,4.3
233554,Cientista de Dados,São Paulo,30 dias,4
495103,Cientista de Dados,São Paulo,3 dias,
216468,Cientista de Dados - Shopping Nova América/RJ,Rio de Janeiro,30 dias,4
328817,Analista de Dados Junior - para Minsait (An Indra Company),São Paulo,28 dias,4
148603,Pessoa Engenheira de Dados / BI,Trabalho remoto,30 dias,4.2
252083,Cientista de Dados,Fortaleza,24 horas,4.8
488747,"Cientista de Dados (SQL, Big Data e Machine Learning)",Trabalho remoto,19 dias,4.2
225517,Pessoa Engenheira de Dados - CoE xTech,Trabalho remoto,30 dias,4
431483,Cientista de Dados SR,São Paulo,30 dias,4.2
175903,Cientista de Dados,São Paulo,30 dias,3.3
256217,Cientista de Dados Sênior,Brasília,30 dias,4.7
354558,Analista Risco de Crédito - Cientista de Dados,São Paulo,30 dias,
